time,jogos,pontos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo_gols,posicao_r19,temporada,aproveitamento,distancia_para_16,distancia_para_z4,pontos_por_jogo,gols_pro_por_jogo,gols_contra_por_jogo,saldo_por_jogo,aproveitamento_ultimos_5,variacao_posicao_ultimas_5,percentual_pontos_casa,percentual_pontos_fora,posicao_final,rebaixado,serie_a_last_5,previous_season_position,previous_season_score,squad_strength_0_100,recent_points_last5,recent_goal_diff_last5,elo_ajustado
Cruzeiro,19,43,13,4,2,41,18,23,1,2014,0.7543859649122807,25,25,2.263157894736842,2.1578947368421053,0.9473684210526315,1.2105263157894737,0.8666666666666667,0,0.5813953488372093,0.4186046511627907,1,0,0.0,22.0,-1.0,48.6,13.0,6.052631578947368,1561.161393743004
Sao Paulo,19,36,10,6,3,31,20,11,2,2014,0.631578947368421,18,18,1.894736842105263,1.631578947368421,1.0526315789473684,0.5789473684210527,0.8666666666666667,3,0.5833333333333334,0.4166666666666667,2,0,0.0,22.0,-1.0,48.6,13.0,2.8947368421052633,1614.986986437013
Internacional,19,34,10,4,5,25,16,9,3,2014,0.5964912280701754,16,16,1.7894736842105263,1.3157894736842106,0.8421052631578947,0.47368421052631576,0.4,-1,0.6176470588235294,0.38235294117647056,3,0,0.0,22.0,-1.0,48.6,6.0,2.3684210526315788,1713.8957545418189
Corinthians,19,32,8,8,3,23,12,11,4,2014,0.5614035087719298,14,14,1.6842105263157894,1.2105263157894737,0.631578947368421,0.5789473684210527,0.4,0,0.5625,0.4375,4,0,0.0,22.0,-1.0,48.6,6.0,2.8947368421052633,1761.101341751857
Fluminense,19,31,9,4,6,31,19,12,5,2014,0.543859649122807,13,13,1.631578947368421,1.631578947368421,1.0,0.631578947368421,0.3333333333333333,-2,0.6774193548387096,0.3225806451612903,6,0,0.0,22.0,-1.0,48.6,5.0,3.1578947368421053,1635.4776854696022
Gremio,19,31,9,4,6,17,14,3,6,2014,0.543859649122807,13,13,1.631578947368421,0.8947368421052632,0.7368421052631579,0.15789473684210525,0.8,5,0.6451612903225806,0.3548387096774194,7,0,0.0,22.0,-1.0,48.6,12.0,0.7894736842105263,1612.9657922808278
Atletico-MG,19,30,8,6,5,24,19,5,7,2014,0.5263157894736842,12,12,1.5789473684210527,1.263157894736842,1.0,0.2631578947368421,0.5333333333333333,-1,0.7,0.3,5,0,0.0,22.0,-1.0,48.6,8.0,1.3157894736842104,1539.0397501401658
Sport,19,28,8,4,7,16,23,-7,8,2014,0.49122807017543857,10,10,1.4736842105263157,0.8421052631578947,1.2105263157894737,-0.3684210526315789,0.4666666666666667,0,0.7142857142857143,0.2857142857142857,11,0,0.0,22.0,-1.0,48.6,7.0,-1.8421052631578947,1509.7041382172438
Santos,19,26,7,5,7,21,15,6,9,2014,0.45614035087719296,8,8,1.368421052631579,1.105263157894737,0.7894736842105263,0.3157894736842105,0.4,0,0.6923076923076923,0.3076923076923077,9,0,0.0,22.0,-1.0,48.6,6.0,1.5789473684210527,1506.5020341558495
Flamengo,19,25,7,4,8,16,23,-7,10,2014,0.43859649122807015,7,7,1.3157894736842106,0.8421052631578947,1.2105263157894737,-0.3684210526315789,0.8,9,0.6,0.4,10,0,0.0,22.0,-1.0,48.6,12.0,-1.8421052631578947,1731.955368962229
Athletico-PR,19,25,6,7,6,25,26,-1,11,2014,0.43859649122807015,7,7,1.3157894736842106,1.3157894736842106,1.368421052631579,-0.05263157894736842,0.2,-4,0.64,0.36,8,0,0.0,22.0,-1.0,48.6,3.0,-0.2631578947368421,1465.660972752581
Botafogo-RJ,19,24,7,3,9,19,18,1,12,2014,0.42105263157894735,6,6,1.263157894736842,1.0,0.9473684210526315,0.05263157894736842,0.6,1,0.875,0.125,19,1,0.0,22.0,-1.0,48.6,9.0,0.2631578947368421,1841.6574495478396
Figueirense,19,24,7,3,9,17,25,-8,13,2014,0.42105263157894735,6,6,1.263157894736842,0.8947368421052632,1.3157894736842106,-0.42105263157894735,0.7333333333333333,4,0.3333333333333333,0.6666666666666666,13,0,0.0,22.0,-1.0,48.6,11.0,-2.1052631578947367,1424.4357488622384
Goias,19,24,6,6,7,14,19,-5,14,2014,0.42105263157894735,6,6,1.263157894736842,0.7368421052631579,1.0,-0.2631578947368421,0.26666666666666666,-4,0.625,0.375,12,0,0.0,22.0,-1.0,48.6,4.0,-1.3157894736842104,1470.2902858978073
Chapecoense,19,20,5,5,9,13,20,-7,15,2014,0.3508771929824561,2,2,1.0526315789473684,0.6842105263157895,1.0526315789473684,-0.3684210526315789,0.3333333333333333,-1,0.75,0.25,15,0,0.0,22.0,-1.0,48.6,5.0,-1.8421052631578947,1285.7921048608812
Palmeiras,19,18,5,3,11,15,25,-10,16,2014,0.3157894736842105,0,0,0.9473684210526315,0.7894736842105263,1.3157894736842106,-0.5263157894736842,0.26666666666666666,-1,0.5555555555555556,0.4444444444444444,16,0,0.0,22.0,-1.0,48.6,4.0,-2.631578947368421,1725.3631138841113
Criciuma,19,18,4,6,9,9,25,-16,17,2014,0.3157894736842105,0,0,0.9473684210526315,0.47368421052631576,1.3157894736842106,-0.8421052631578947,0.13333333333333333,-5,0.8333333333333334,0.16666666666666666,20,1,0.0,22.0,-1.0,48.6,2.0,-4.2105263157894735,1419.374134049662
