,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Palmeiras,0.8324,0.1535,0.0117,0.0019,0.0002,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flamengo,0.1557,0.6838,0.1126,0.0295,0.0107,0.0048,0.0015,0.0006,0.0007,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fluminense,0.0089,0.0983,0.3766,0.1955,0.1169,0.0739,0.0498,0.0292,0.0196,0.0127,0.0082,0.0053,0.0027,0.0012,0.0011,0.0,0.0,0.0001,0.0,0.0
Bragantino,0.001,0.0205,0.1341,0.1744,0.1487,0.1306,0.0986,0.0794,0.0638,0.0501,0.0357,0.0229,0.0161,0.0117,0.0081,0.0022,0.0016,0.0004,0.0001,0.0
Athletico-PR,0.0006,0.0053,0.0499,0.0819,0.0991,0.1106,0.1118,0.1067,0.0914,0.0865,0.0706,0.0571,0.0456,0.0333,0.0227,0.0144,0.008,0.0035,0.001,0.0
Bahia,0.0004,0.01,0.0763,0.1168,0.1283,0.1168,0.1106,0.0983,0.0825,0.0717,0.0553,0.0439,0.0326,0.0256,0.0154,0.0088,0.0049,0.0011,0.0007,0.0
Coritiba,0.0,0.0002,0.0032,0.0096,0.0174,0.028,0.0403,0.0471,0.0627,0.0739,0.0852,0.0966,0.1049,0.1119,0.1029,0.0851,0.0708,0.0444,0.0157,0.0001
Sao Paulo,0.0001,0.0048,0.0456,0.074,0.0958,0.0993,0.1037,0.099,0.097,0.0825,0.0754,0.0619,0.05,0.0423,0.0291,0.0204,0.0122,0.0056,0.0013,0.0
Botafogo,0.0,0.0007,0.007,0.0136,0.0255,0.0352,0.0483,0.0576,0.071,0.0792,0.0949,0.0997,0.1026,0.091,0.0892,0.0751,0.0573,0.0373,0.0147,0.0001
Vitoria,0.0,0.0041,0.0363,0.0646,0.0881,0.0966,0.0989,0.1037,0.0947,0.0857,0.0798,0.0687,0.0547,0.0461,0.0315,0.0248,0.0133,0.0062,0.0022,0.0
Atletico-MG,0.0,0.0002,0.0059,0.0155,0.0287,0.0389,0.0484,0.0639,0.0697,0.088,0.0905,0.1012,0.0964,0.0894,0.0861,0.0795,0.0541,0.0317,0.0119,0.0
Corinthians,0.0009,0.0163,0.113,0.1556,0.1448,0.1238,0.1057,0.0903,0.0716,0.0558,0.0377,0.0287,0.0212,0.0135,0.0113,0.0054,0.0028,0.0014,0.0002,0.0
Cruzeiro,0.0,0.0004,0.0057,0.0129,0.0209,0.0331,0.0433,0.0585,0.0661,0.0847,0.0911,0.0962,0.0989,0.0974,0.0954,0.0767,0.0635,0.0394,0.0158,0.0
Internacional,0.0,0.0015,0.0191,0.0434,0.0547,0.0753,0.0834,0.088,0.1009,0.0934,0.0918,0.0844,0.0735,0.0594,0.0495,0.0385,0.0231,0.0148,0.0053,0.0
Santos,0.0,0.0001,0.0003,0.0011,0.0018,0.0039,0.0074,0.0117,0.0145,0.0243,0.0347,0.0428,0.0602,0.0799,0.1014,0.1303,0.1676,0.1777,0.1399,0.0004
Gremio,0.0,0.0002,0.0026,0.0069,0.0133,0.0192,0.031,0.0401,0.0533,0.0581,0.0756,0.0816,0.0979,0.1094,0.108,0.1052,0.0905,0.0708,0.0362,0.0001
Vasco,0.0,0.0001,0.0001,0.0025,0.0041,0.0076,0.0137,0.0191,0.0275,0.0351,0.046,0.0681,0.0849,0.0929,0.1147,0.1335,0.1396,0.1219,0.0885,0.0001
Mirassol,0.0,0.0,0.0,0.0003,0.0007,0.0016,0.0027,0.0049,0.0087,0.0125,0.0185,0.0252,0.0364,0.0568,0.0757,0.1142,0.1579,0.222,0.2608,0.0011
Remo,0.0,0.0,0.0,0.0,0.0003,0.0005,0.0009,0.0019,0.0043,0.0058,0.009,0.0157,0.0213,0.0382,0.0579,0.0859,0.1327,0.2211,0.4007,0.0038
Chapecoense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0006,0.005,0.9943
