time,prob_rebaixamento,posicao_media,pontos_medios,elo_ajustado,serie_a_last_5,previous_season_tier,previous_season_position,squad_strength_0_100,recent_points_last5,recent_goal_diff_last5,previous_season_score
Chapecoense,1.0,19.9966,16.6322,937.3389779258966,1,B,3,48,2,-8,6
Remo,0.92,18.2506,33.9286,1285.202428620571,1,B,4,53,4,-4,5
Mirassol,0.7752,17.3482,36.8732,1352.19131750946,1,A,3,60,4,-2,18
Santos,0.4309,15.5609,41.8465,1443.5091411389935,4,A,14,72,5,-2,7
Vasco,0.3984,15.445,42.1593,1470.4499889261353,4,A,16,70,4,-4,5
Coritiba,0.1336,13.3486,46.1291,1412.6392353674844,3,B,1,62,7,0,8
Gremio,0.1211,12.8957,47.1139,1579.030794000814,5,A,15,76,5,-2,6
Cruzeiro,0.0853,12.4093,48.0556,1529.8082668080197,4,A,4,79,6,-2,17
Botafogo,0.0381,10.8536,50.1561,1552.4357619539046,5,A,5,83,7,0,16
Atletico-MG,0.0351,10.825,50.1703,1572.6310676496257,5,A,9,84,6,0,12
Vitoria,0.0335,10.671,50.6843,1561.171176776249,3,A,12,61,7,-1,9
Internacional,0.0182,9.6725,52.3733,1713.0426276068342,5,A,13,77,5,-1,8
Sao Paulo,0.004,7.6149,55.667,1687.2338595020285,5,A,8,80,7,1,13
Athletico-PR,0.0033,7.9967,54.851,1544.4856235953744,4,B,2,76,8,2,7
Bahia,0.0015,7.1375,56.75,1622.9205203449224,5,A,7,75,8,1,14
Corinthians,0.0014,6.7578,57.6416,1773.9148814835391,5,A,11,78,6,-1,10
Bragantino,0.0004,6.1136,58.3994,1631.784712269959,5,A,10,73,7,1,11
Fluminense,0.0,3.9765,64.5622,1748.947950347483,5,A,6,82,9,2,15
Palmeiras,0.0,1.1979,82.6109,2006.4099869491267,5,A,2,92,11,6,19
Flamengo,0.0,1.9281,75.5528,2008.0408041187477,5,A,1,94,10,7,20
