posicao_r19,time,pontos,jogos,vitorias,empates,derrotas,saldo_gols,gols_pro,gols_contra,pontos_por_jogo,saldo_por_jogo,gols_pro_por_jogo,gols_contra_por_jogo,serie_a_last_5,previous_season_tier,previous_season_position,squad_strength_0_100,recent_points_last5,recent_goal_diff_last5,previous_season_score,elo_ajustado,aproveitamento_ultimos_5,variacao_posicao_ultimas_5,rebaixado,risco_ml_sem_tabela,principais_fatores
20,Chapecoense,9,18,1,6,11,-18,17,35,0.5,-1.0,0.9444444444444444,1.9444444444444444,1,B,3,48,2,-8,6,937.3389779258966,0.13333333333333333,-8,,0.9937975855674624,"Elo baixo, saldo recente ruim, saldo de gols baixo"
17,Vasco,20,19,5,5,9,-8,22,30,1.0526315789473684,-0.42105263157894735,1.1578947368421053,1.5789473684210527,4,A,16,70,4,-4,5,1470.4499889261353,0.26666666666666666,-4,,0.8350186596398865,"saldo recente ruim, saldo de gols baixo, historico recente em risco"
19,Remo,18,18,4,6,8,-8,21,29,1.0,-0.4444444444444444,1.1666666666666667,1.6111111111111112,1,B,4,53,4,-4,5,1285.202428620571,0.26666666666666666,-4,,0.8173249175357135,"Elo baixo, saldo recente ruim, saldo de gols baixo"
16,Gremio,21,19,5,6,8,-4,21,25,1.105263157894737,-0.21052631578947367,1.105263157894737,1.3157894736842106,5,A,15,76,5,-2,6,1579.030794000814,0.3333333333333333,-2,,0.6483150874291512,"historico recente em risco, saldo recente ruim, saldo de gols baixo"
15,Santos,21,19,5,6,8,-4,27,31,1.105263157894737,-0.21052631578947367,1.4210526315789473,1.631578947368421,4,A,14,72,5,-2,7,1443.5091411389935,0.3333333333333333,-2,,0.5511838159781812,"saldo recente ruim, Elo baixo, historico recente em risco"
18,Mirassol,19,18,5,4,9,-5,20,25,1.0555555555555556,-0.2777777777777778,1.1111111111111112,1.3888888888888888,1,A,3,60,4,-2,18,1352.19131750946,0.26666666666666666,-2,,0.4508559835762963,"Elo baixo, saldo recente ruim, saldo de gols baixo"
14,Internacional,21,18,5,6,7,-1,21,22,1.1666666666666667,-0.05555555555555555,1.1666666666666667,1.2222222222222223,5,A,13,77,5,-1,8,1713.0426276068342,0.3333333333333333,-1,,0.36913979683692677,"historico recente em risco, saldo recente ruim, poucos pontos recentes"
12,Corinthians,24,18,6,6,6,-1,18,19,1.3333333333333333,-0.05555555555555555,1.0,1.0555555555555556,5,A,11,78,6,-1,10,1773.9148814835391,0.4,-1,,0.3086173772011227,"historico recente em risco, ataque pouco produtivo, saldo recente ruim"
11,Atletico-MG,24,18,7,3,8,-1,22,23,1.3333333333333333,-0.05555555555555555,1.2222222222222223,1.2777777777777777,5,A,9,84,6,0,12,1572.6310676496257,0.4,0,,0.30496033212149043,"historico recente em risco, poucos pontos recentes, forma recente ruim"
13,Cruzeiro,24,18,6,6,6,-4,24,28,1.3333333333333333,-0.2222222222222222,1.3333333333333333,1.5555555555555556,4,A,4,79,6,-2,17,1529.8082668080197,0.4,-2,,0.30216137454052433,"saldo recente ruim, historico recente em risco, saldo de gols baixo"
10,Vitoria,25,18,7,4,7,-3,22,25,1.3888888888888888,-0.16666666666666666,1.2222222222222223,1.3888888888888888,3,A,12,61,7,-1,9,1561.171176776249,0.4666666666666667,-1,,0.28779995938328184,"saldo recente ruim, saldo de gols baixo, historico recente em risco"
7,Coritiba,26,18,7,5,6,0,24,24,1.4444444444444444,0.0,1.3333333333333333,1.3333333333333333,3,B,1,62,7,0,8,1412.6392353674844,0.4666666666666667,0,,0.2725281551410361,"Elo baixo, historico recente em risco, defesa vulneravel"
8,Sao Paulo,25,18,7,4,7,3,23,20,1.3888888888888888,0.16666666666666666,1.2777777777777777,1.1111111111111112,5,A,8,80,7,1,13,1687.2338595020285,0.4666666666666667,1,,0.10595719554345334,"historico recente em risco, oscilacao recente"
4,Bragantino,30,19,9,3,7,6,26,20,1.5789473684210527,0.3157894736842105,1.368421052631579,1.0526315789473684,5,A,10,73,7,1,11,1631.784712269959,0.4666666666666667,1,,0.0999648618526459,"historico recente em risco, oscilacao recente, elenco fragil"
5,Athletico-PR,30,18,9,3,6,6,24,18,1.6666666666666667,0.3333333333333333,1.3333333333333333,1.0,4,B,2,76,8,2,7,1544.4856235953744,0.5333333333333333,2,,0.09516804076174855,"historico recente em risco, oscilacao recente, Elo baixo"
9,Botafogo,25,18,7,4,7,1,33,32,1.3888888888888888,0.05555555555555555,1.8333333333333333,1.7777777777777777,5,A,5,83,7,0,16,1552.4357619539046,0.4666666666666667,0,,0.07856313108577835,"historico recente em risco, defesa vulneravel, Elo baixo"
6,Bahia,29,18,8,5,5,4,27,23,1.6111111111111112,0.2222222222222222,1.5,1.2777777777777777,5,A,7,75,8,1,14,1622.9205203449224,0.5333333333333333,1,,0.06622041637448682,"historico recente em risco, defesa vulneravel, oscilacao recente"
3,Fluminense,32,19,9,5,5,5,29,24,1.6842105263157894,0.2631578947368421,1.5263157894736843,1.263157894736842,5,A,6,82,9,2,15,1748.947950347483,0.6,2,,0.025120281482932414,"historico recente em risco, oscilacao recente, defesa vulneravel"
1,Palmeiras,41,18,12,5,1,17,30,13,2.2777777777777777,0.9444444444444444,1.6666666666666667,0.7222222222222222,5,A,2,92,11,6,19,2006.4099869491267,0.7333333333333333,6,,0.0006327460546006596,"historico recente em risco, oscilacao recente"
2,Flamengo,34,17,10,4,3,15,31,16,2.0,0.8823529411764706,1.8235294117647058,0.9411764705882353,5,A,1,94,10,7,20,2008.0408041187477,0.6666666666666666,7,,0.0005120727959428783,"historico recente em risco, oscilacao recente"
