posicao_projetada,time,pontos_medios,posicao_media,prob_rebaixamento,elo_ajustado,zona,serie_a_last_5,previous_season_tier,previous_season_position,squad_strength_0_100,recent_points_last5,recent_goal_diff_last5,previous_season_score
1,Palmeiras,83.4987,1.1692,0.0,2048.0672796907847,,5,A,2,92,11,6,19
2,Flamengo,75.8289,1.9535,0.0,2022.590253723151,,5,A,1,94,10,7,20
3,Fluminense,65.2261,3.8373,0.0,1769.070155369843,,5,A,6,82,9,2,15
4,Bragantino,58.4559,6.1198,0.0005,1633.749022555477,,5,A,10,73,7,1,11
5,Corinthians,57.4274,6.8924,0.0014,1770.5721742251974,,5,A,11,78,6,-1,10
6,Bahia,57.2666,6.8984,0.0011,1637.0778130865804,,5,A,7,75,8,1,14
7,Athletico-PR,55.2799,7.7774,0.0025,1555.3095830036991,,4,B,2,76,8,2,7
8,Sao Paulo,55.2502,7.8615,0.0042,1676.6689300214643,,5,A,8,80,7,1,13
9,Internacional,51.4795,10.2102,0.0227,1691.3665870151592,,5,A,13,77,5,-1,8
10,Vitoria,51.2142,10.3488,0.0248,1575.0506917401292,,3,A,12,61,7,-1,9
11,Botafogo,50.2976,10.7572,0.0326,1555.7597213622291,,5,A,5,83,7,0,16
12,Atletico-MG,50.1412,10.8237,0.0302,1571.5105826135061,,5,A,9,84,6,0,12
13,Cruzeiro,48.5322,12.0962,0.0669,1542.298892883011,,4,A,4,79,6,-2,17
14,Coritiba,46.5004,13.1109,0.1114,1421.7965281091424,,3,B,1,62,7,0,8
15,Gremio,46.4188,13.2473,0.1352,1560.9951042863318,,5,A,15,76,5,-2,6
16,Vasco,41.9178,15.4934,0.3959,1462.4142992116533,,4,A,16,70,4,-4,5
17,Santos,41.3682,15.7051,0.453,1428.6313461613533,Z4,4,A,14,72,5,-2,7
18,Mirassol,36.3201,17.4432,0.7937,1333.2930546955624,Z4,1,A,3,60,4,-2,18
19,Remo,33.6211,18.2564,0.9239,1272.6930546955625,Z4,1,B,4,53,4,-4,5
20,Chapecoense,16.245,19.9981,1.0,904.2740484453326,Z4,1,B,3,48,2,-8,6
